Link,Preis,Beschreibung,Details,Adresse,Features,Vollständige_Adresse,Latitude,Longitude,created_date,closed_date,Preis_cleaned,Wohnfläche,Grundstücksfläche,Zimmer,Preis_pro_qm
https://www.immowelt.de/expose/4c2ea4d1-e365-4715-8fd1-a5e0359aaa8f,68.000 € 2.216 €/m²,Studio zum Kauf,"2 Zimmer·30,7 m²","Maximin 3, Trier (54292)",Außen-Stellplatz,Keine Adresse gefunden,,,2024-12-31,,68000.0,30.7,,2.0,2214.983713355049
https://www.immowelt.de/expose/f09145f6-6321-43ef-9ad0-8deb6982d2ee,260.000 € 1.926 €/m²,Maisonette zum Kauf,5 Zimmer·135 m²,"Maximin 3, Trier (54292)",2 Stellplätze: 2 Außen-Stellplätze,Keine Adresse gefunden,,,2024-12-31,,260000.0,135.0,,5.0,1925.9259259259259
https://www.immowelt.de/expose/d9157930-cef3-4de5-9e02-a14ddeb8a7d0,461.550 € 4.925 €/m²,Wohnung zum Kauf,"2 Zimmer·93,7 m²·EG·frei ab sofort","Domänenstraße, Alt-Kürenz 2, Trier (54295)","2024; Carport, Außen-Stellplatz; Balkon; Barrierefrei, Rollstuhlgerecht; kontrollierte Be- und Entlüftungsanlage; Erdgeschoss; DSL-Anschluss; Badezimmer: Bad mit Dusche, Bad mit Fenster",Keine Adresse gefunden,,,2024-12-31,,461550.0,93.7,,2.0,4925.827107790821
https://www.immowelt.de/expose/35b9bfe8-c7b3-447b-a297-6fdb0aa97ef5,435.700 € 4.589 €/m²,Wohnung zum Kauf,2 Zimmer·95 m²·frei ab sofort,"Domänenstraße, Alt-Kürenz 2, Trier (54295)","ab sofort; Carport, Außen-Stellplatz; kontrollierte Be- und Entlüftungsanlage; DSL-Anschluss; Badezimmer: Bad mit Dusche, Bad mit Fenster; Offene Küche, Speisekammer; Gartenanteil; Kelleranteil",Keine Adresse gefunden,,,2024-12-31,,435700.0,95.0,,2.0,4586.315789473684
https://www.immowelt.de/expose/0b18a8ce-02e5-4335-9a33-6eacbf3ff718,Preis auf Anfrage,Wohnung zum Kauf,2 Zimmer·54 m²·3. Geschoss,"Olewig 1, Trier (54295)","Außen-Stellplatz; 3. Geschoss; Badewanne; Waschraum; Einbauküche; Kelleranteil; Bodenbelag: Fliesen, Laminat; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,,54.0,,2.0,
https://www.immowelt.de/expose/6b41d66c-594d-494a-994d-dc4d02ca1fe6,194.340 € 6.000 €/m²,Wohnung zum Kauf,"2 Zimmer·32,4 m²·1. Geschoss","Eberhardstraße 47, Barbara 2, Trier (54290)",Balkon; 1. Geschoss; vermietet,Keine Adresse gefunden,,,2024-12-31,,194340.0,32.4,,2.0,5998.148148148149
https://www.immowelt.de/expose/bfb89320-9238-42d4-a063-522a51c39c29,695.000 € 2.623 €/m²,Mehrfamilienhaus zum Kauf,265 m²·378 m² Grundstück,"Peter-Friedhofen-Str. 8, Maximin 6, Trier (54292)",Balkon; Garten,Keine Adresse gefunden,,,2024-12-31,,695000.0,265.0,378.0,,2622.6415094339623
https://www.immowelt.de/expose/5212afdc-e062-4394-bf04-2f740a6ba6db,139.500 € 3.671 €/m²,Wohnung zum Kauf,1 Zimmer·38 m²·2. Geschoss,"Altstadt 5, Trier (54290)",Personenaufzug; 2. Geschoss; Kelleranteil; Kabelanschluss; vermietet,Keine Adresse gefunden,,,2024-12-31,,139500.0,38.0,,1.0,3671.0526315789475
https://www.immowelt.de/expose/a60b707b-5c23-4d45-a72a-1b555b1043cf,128.900 € 3.267 €/m²,Wohnung zum Kauf,"2 Zimmer·39,5 m²·3. Geschoss","Matthias 1, Trier (54290)","Nach Absprache.; 3. Geschoss; Badezimmer: Bad mit Dusche, Bad mit Fenster; Einbauküche; vermietet",Keine Adresse gefunden,,,2024-12-31,,128900.0,39.5,,2.0,3263.2911392405063
https://www.immowelt.de/expose/4a487b06-2718-4086-9aa7-7c34c875a930,325.000 € 3.944 €/m²,Wohnung zum Kauf,"4 Zimmer·82,4 m²·1. Geschoss","Altstadt 5, Trier (54295)","Sofort; Carport; Balkon; 1. Geschoss; Badezimmer: Bad mit Dusche, Bad mit Fenster; Einbauküche; Kelleranteil; Bodenbelag: Fliesen, Parkett",Keine Adresse gefunden,,,2024-12-31,,325000.0,82.4,,4.0,3944.174757281553
https://www.immowelt.de/expose/bd36d900-6067-43b6-8e03-0e0ede07de96,995.000 € 2.182 €/m²,Mehrfamilienhaus zum Kauf,456 m²·11.766 m² Grundstück,"Neu-Kürenz 1, Trier-Petrisberg (54296)","26 Stellplätze: Garage, 22 Außen-Stellplätze; Kein Keller; Bodenbelag: Fliesen; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,995000.0,456.0,11766.0,,2182.0175438596493
https://www.immowelt.de/expose/e2203b7f-784c-4b44-beed-791f46b97ba0,120.000 € 3.077 €/m²,Mehrfamilienhaus zum Kauf,1 Zimmer·39 m²,"Barbara 3, Trier (54290)","sofort; Personenaufzug; Barrierefrei, Rollstuhlgerecht; 1 Geschoss; Badezimmer: Bad mit Dusche, Bad mit Fenster; Gäste-WC; Waschraum; Einbauküche",Keine Adresse gefunden,,,2024-12-31,,120000.0,39.0,,1.0,3076.923076923077
